2024-09-30 21-54-24 INFO  BaseClass:288 - Facet on product eyecatcher is : SALE
2024-09-30 21-54-24 INFO  BaseClass:169 - Facet on product eyecatcher is visible
2024-09-30 21-54-24 INFO  BaseClass:288 - Facet on product eyecatcher is : SALE
2024-09-30 21-54-24 INFO  BaseClass:169 - Facet on product eyecatcher is visible
2024-09-30 21-54-24 INFO  BaseClass:288 - Facet on product eyecatcher is : SALE
2024-09-30 21-54-24 INFO  BaseClass:169 - Facet on product eyecatcher is visible
2024-09-30 21-54-24 INFO  BaseClass:288 - Facet on product eyecatcher is : SALE
2024-09-30 21-54-24 INFO  BaseClass:169 - Facet on product eyecatcher is visible
2024-09-30 21-54-24 INFO  BaseClass:288 - Facet on product eyecatcher is : SALE
2024-09-30 21-54-24 INFO  BaseClass:169 - Facet on product eyecatcher is visible
2024-09-30 21-54-24 INFO  BaseClass:288 - Facet on product eyecatcher is : SALE
2024-09-30 21-54-24 INFO  ParfumPageObjects:218 - Count of filtered products: 48 and discount eyecatchers: 48 are matching
2024-09-30 21-54-24 INFO  BaseClass:288 - Filtered product tile product name is : VERSACE
2024-09-30 21-54-24 INFO  BaseClass:288 - Filtered product tile product name is : VALENTINO
2024-09-30 21-54-25 INFO  BaseClass:288 - Filtered product tile product name is : RABANNE
2024-09-30 21-54-25 INFO  BaseClass:288 - Filtered product tile product name is : VERSACE
2024-09-30 21-54-25 INFO  BaseClass:288 - Filtered product tile product name is : HUGO BOSS
2024-09-30 21-54-25 INFO  BaseClass:288 - Filtered product tile product name is : CAROLINA HERRERA
2024-09-30 21-54-25 INFO  BaseClass:288 - Filtered product tile product name is : LANCÔME
2024-09-30 21-54-25 INFO  BaseClass:288 - Filtered product tile product name is : JIL SANDER
2024-09-30 21-54-25 INFO  BaseClass:288 - Filtered product tile product name is : HUGO BOSS
2024-09-30 21-54-25 INFO  BaseClass:288 - Filtered product tile product name is : HUGO BOSS
2024-09-30 21-54-26 INFO  BaseClass:288 - Filtered product tile product name is : GIVENCHY
2024-09-30 21-54-26 INFO  BaseClass:288 - Filtered product tile product name is : HUGO BOSS
2024-09-30 21-54-26 INFO  BaseClass:288 - Filtered product tile product name is : LANCÔME
2024-09-30 21-54-26 INFO  BaseClass:288 - Filtered product tile product name is : LANCÔME
2024-09-30 21-54-26 INFO  BaseClass:288 - Filtered product tile product name is : JEAN PAUL GAULTIER
2024-09-30 21-54-26 INFO  BaseClass:288 - Filtered product tile product name is : LANCÔME
2024-09-30 21-54-26 INFO  BaseClass:288 - Filtered product tile product name is : CAROLINA HERRERA
